City,PM2.5,PM10,SO2,NO2,CO,NO,O3,NH3,AQI,AQI_Bucket,PM10_SubIndex,PM2.5_SubIndex,SO2_SubIndex,NO_SubIndex,NH3_SubIndex,CO_SubIndex,O3_SubIndex
Dhaka,79.44,97.78,3.1,8.74,447.27,0.0,52.93,3.71,164.8,Moderate,97.78,164.8,3.875,0.0,0.9275,2831.0,52.93
Faridpur,91.44,110.78,7.51,9.0,540.73,0.0,49.35,4.37,204.79999999999998,Poor,107.18666666666667,204.79999999999998,9.3875,0.0,1.0925,3380.764705882353,49.35
Gazipur,77.78,95.25,2.44,6.34,423.91,0.0,51.5,4.18,159.26666666666665,Moderate,95.25,159.26666666666665,3.05,0.0,1.045,2693.5882352941176,51.5
Gopalganj,147.56,164.69,15.97,10.45,727.65,0.0,95.84,27.87,321.2,Very Poor,143.12666666666667,321.2,19.9625,0.0,6.9675,4480.2941176470595,95.84
Jamalpur,212.2,235.52,17.88,16.28,1054.76,0.0,73.67,23.31,370.9230769230769,Very Poor,190.3466666666667,370.9230769230769,22.35,0.0,5.8275,6404.470588235294,73.67
Kishoreganj,83.61,100.36,3.16,9.25,494.0,0.0,42.92,5.57,178.7,Moderate,100.24,178.7,3.95,0.0,1.3925,3105.8823529411766,42.92
Madaripur,73.66,90.06,1.91,4.54,373.84,0.0,53.64,3.71,145.5333333333333,Moderate,90.06,145.5333333333333,2.3875,0.0,0.9275,2399.0588235294117,53.64
Manikganj,83.28,102.05,4.71,7.03,480.65,0.0,49.35,4.88,177.6,Moderate,101.36666666666666,177.6,5.8875,0.0,1.22,3027.3529411764707,49.35
Munshiganj,74.74,91.38,1.61,4.58,387.19,0.0,53.64,4.5,149.13333333333333,Moderate,91.38,149.13333333333333,2.0125,0.0,1.125,2477.5882352941176,53.64
Mymensingh,114.03,133.31,2.5,11.48,720.98,0.0,32.9,10.13,280.1,Poor,122.20666666666666,280.1,3.125,0.0,2.5325,4441.058823529412,32.9
Narayanganj,80.41,98.04,3.64,9.17,480.65,0.0,52.21,4.12,168.0333333333333,Moderate,98.04,168.0333333333333,4.55,0.0,1.03,3027.3529411764707,52.21
Narsingdi,80.4,97.22,3.25,9.25,453.95,0.0,52.21,3.99,168.0,Moderate,97.22,168.0,4.0625,0.0,0.9975,2870.294117647059,52.21
Netrokona,94.86,103.31,2.62,4.84,580.79,0.0,61.51,4.62,216.2,Poor,102.20666666666666,216.2,3.275,0.0,1.155,3616.4117647058824,61.51
Rajbari,117.47,143.1,11.09,19.71,834.47,0.0,28.97,4.94,291.56666666666666,Poor,128.73333333333332,291.56666666666666,13.8625,0.0,1.235,5108.64705882353,28.97
Shariatpur,72.55,87.9,1.21,3.6,363.83,0.0,54.36,4.94,141.83333333333331,Moderate,87.9,141.83333333333331,1.5125,0.0,1.235,2340.176470588235,54.36
Sherpur,135.54,145.06,0.51,9.85,841.14,0.13,9.84,4.43,311.95384615384614,Very Poor,130.04,311.95384615384614,0.6375,0.1625,1.1075,5147.882352941177,9.84
Tangail,123.4,144.56,10.97,19.36,814.44,0.0,31.47,6.46,302.61538461538464,Very Poor,129.70666666666668,302.61538461538464,13.7125,0.0,1.615,4990.823529411765,31.47
Bogra,119.47,141.67,3.46,19.54,961.3,0.01,22.17,24.83,298.23333333333335,Poor,127.78,298.23333333333335,4.325,0.0125,6.2075,5854.705882352941,22.17
Joypurhat,125.8,147.0,5.66,12.68,754.36,0.0,47.21,30.15,304.46153846153845,Very Poor,131.33333333333334,304.46153846153845,7.075,0.0,7.5375,4637.411764705882,47.21
Naogaon,120.21,143.04,4.05,14.05,794.41,0.0,38.62,31.16,300.16153846153844,Very Poor,128.69333333333333,300.16153846153844,5.0625,0.0,7.79,4873.0,38.62
Natore,140.73,164.24,4.59,22.62,1214.98,0.02,16.27,15.45,315.94615384615383,Very Poor,142.82666666666668,315.94615384615383,5.7375,0.025,3.8625,7346.941176470588,16.27
Nawabganj,144.26,158.71,26.46,14.74,781.06,0.0,69.38,21.28,318.66153846153844,Very Poor,139.14000000000001,318.66153846153844,33.075,0.0,5.32,4794.470588235294,69.38
Pabna,104.86,129.24,4.77,17.99,767.71,0.01,21.1,6.14,249.53333333333333,Poor,119.49333333333334,249.53333333333333,5.9624999999999995,0.0125,1.535,4715.941176470588,21.1
Rajshahi,137.18,163.48,5.25,29.82,1388.55,0.14,8.85,23.56,313.2153846153846,Very Poor,142.32,313.2153846153846,6.5625,0.17500000000000002,5.89,8367.941176470587,8.85
Sirajgonj,119.73,143.03,5.78,20.05,847.82,0.01,21.46,6.33,299.1,Poor,128.68666666666667,299.1,7.225,0.0125,1.5825,5187.176470588235,21.46
Dinajpur,171.67,194.54,6.74,9.85,947.95,0.0,65.8,28.37,339.74615384615385,Very Poor,163.02666666666667,339.74615384615385,8.425,0.0,7.0925,5776.176470588235,65.8
Gaibandha,150.32,171.67,4.05,13.54,921.25,0.0,42.56,27.87,323.32307692307694,Very Poor,147.78,323.32307692307694,5.0625,0.0,6.9675,5619.117647058823,42.56
Kurigram,259.05,283.64,4.17,10.97,1121.52,0.0,47.92,9.88,406.96153846153845,Severe,233.64,406.96153846153845,5.2125,0.0,2.47,6797.176470588235,47.92
Lalmonirhat,273.04,305.16,0.79,13.54,1522.06,0.18,6.08,11.91,417.7230769230769,Severe,255.16000000000003,417.7230769230769,0.9875,0.225,2.9775,9153.29411764706,6.08
Nilphamari,260.32,296.41,1.37,15.94,1255.04,0.03,16.27,16.72,407.9384615384615,Severe,246.41000000000003,407.9384615384615,1.7125,0.0375,4.18,7582.588235294118,16.27
Panchagarh,207.12,227.95,1.77,26.05,1708.98,2.91,1.08,17.99,367.0153846153846,Very Poor,185.29999999999998,367.0153846153846,2.2125,3.6375,4.4975,10252.823529411764,1.08
Rangpur,217.73,244.66,2.33,15.59,1148.22,0.0,34.69,16.47,375.17692307692306,Very Poor,196.44,375.17692307692306,2.9125,0.0,4.1175,6954.235294117647,34.69
Thakurgaon,245.98,278.89,2.86,21.76,1335.14,0.09,10.73,81.06,396.9076923076923,Very Poor,228.89,396.9076923076923,3.575,0.1125,20.265,8053.764705882354,10.73
Barguna,74.64,94.14,0.79,0.91,337.12,0.0,77.25,1.68,148.8,Moderate,94.14,148.8,0.9875,0.0,0.42,2183.0588235294117,77.25
Barisal,72.77,87.8,1.36,3.9,353.81,0.0,54.36,4.94,142.56666666666666,Moderate,87.8,142.56666666666666,1.7,0.0,1.235,2281.235294117647,54.36
Bhola,77.18,96.53,0.62,1.13,360.49,0.0,94.41,2.66,157.26666666666668,Moderate,96.53,157.26666666666668,0.775,0.0,0.665,2320.529411764706,94.41
Jhalokati,74.61,90.47,1.0,2.23,343.8,0.0,63.66,3.52,148.7,Moderate,90.47,148.7,1.25,0.0,0.88,2222.3529411764703,63.66
Patuakhali,79.02,97.77,0.92,3.34,367.17,0.0,68.67,5.38,163.39999999999998,Moderate,97.77,163.39999999999998,1.15,0.0,1.345,2359.823529411765,68.67
Pirojpur,73.46,91.56,1.68,2.79,337.12,0.0,64.37,2.19,144.86666666666665,Moderate,91.56,144.86666666666665,2.1,0.0,0.5475,2183.0588235294117,64.37
Bandarban,83.89,90.44,0.26,1.93,353.81,0.0,28.61,2.85,179.63333333333333,Moderate,90.44,179.63333333333333,0.325,0.0,0.7125,2281.235294117647,28.61
Brahmanbaria,77.79,92.27,1.76,5.1,413.9,0.0,57.22,4.24,159.3,Moderate,92.27,159.3,2.2,0.0,1.06,2634.705882352941,57.22
Chandpur,74.65,90.62,1.01,4.41,400.54,0.0,49.35,5.0,148.83333333333334,Moderate,90.62,148.83333333333334,1.2625,0.0,1.25,2556.1176470588234,49.35
Chittagong,104.2,114.79,4.35,9.43,500.68,0.0,70.81,4.18,247.33333333333334,Poor,109.86,247.33333333333334,5.437499999999999,0.0,1.045,3145.176470588235,70.81
Comilla,75.96,91.8,1.19,4.41,407.22,0.0,57.22,4.94,153.2,Moderate,91.8,153.2,1.4875,0.0,1.235,2595.4117647058824,57.22
CoxBazar,92.62,96.34,0.47,3.3,423.91,0.0,38.62,4.05,208.73333333333335,Poor,96.34,208.73333333333335,0.5875,0.0,1.0125,2693.5882352941176,38.62
Feni,71.75,88.31,0.81,4.67,387.19,0.0,53.64,5.57,139.16666666666666,Moderate,88.31,139.16666666666666,1.0125,0.0,1.3925,2477.5882352941176,53.64
Khagrachari,62.22,69.45,1.49,1.84,367.17,0.0,57.94,0.59,107.39999999999999,Moderate,69.45,107.39999999999999,1.8625,0.0,0.1475,2359.823529411765,57.94
Lakshmipur,72.43,90.74,0.79,2.53,353.81,0.0,64.37,4.02,141.43333333333337,Moderate,90.74,141.43333333333337,0.9875,0.0,1.005,2281.235294117647,64.37
Noakhali,73.4,89.44,0.66,2.57,367.17,0.0,65.09,4.56,144.66666666666669,Moderate,89.44,144.66666666666669,0.825,0.0,1.14,2359.823529411765,65.09
Rangamati,95.71,103.54,0.66,0.42,367.17,0.0,74.39,0.0,219.0333333333333,Poor,102.36,219.0333333333333,0.825,0.0,0.0,2359.823529411765,74.39
Habiganj,76.05,87.9,1.3,5.74,433.92,0.0,47.21,3.58,153.5,Moderate,87.9,153.5,1.625,0.0,0.895,2752.470588235294,47.21
